group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
d01p01,,,,,1015768.0,ns,21
d01p01,,,,,2003003.0,ns,42
d01p01,,,,,3007904.0,ns,63
d01p01,,,,,3881342.0,ns,84
d01p01,,,,,4997116.0,ns,105
d01p01,,,,,6074461.0,ns,126
d01p01,,,,,7359515.0,ns,147
d01p01,,,,,8071816.0,ns,168
d01p01,,,,,9018922.0,ns,189
d01p01,,,,,10067738.0,ns,210
d01p01,,,,,10938524.0,ns,231
d01p01,,,,,11984483.0,ns,252
d01p01,,,,,12889768.0,ns,273
d01p01,,,,,13900977.0,ns,294
d01p01,,,,,14997269.0,ns,315
d01p01,,,,,15724753.0,ns,336
d01p01,,,,,16812706.0,ns,357
d01p01,,,,,18252732.0,ns,378
d01p01,,,,,19188319.0,ns,399
d01p01,,,,,20294437.0,ns,420
d01p01,,,,,21234736.0,ns,441
d01p01,,,,,22308744.0,ns,462
d01p01,,,,,23285676.0,ns,483
d01p01,,,,,24143341.0,ns,504
d01p01,,,,,25297895.0,ns,525
d01p01,,,,,26306318.0,ns,546
d01p01,,,,,27276099.0,ns,567
d01p01,,,,,28305088.0,ns,588
d01p01,,,,,28941965.0,ns,609
d01p01,,,,,30418299.0,ns,630
d01p01,,,,,31415091.0,ns,651
d01p01,,,,,32514763.0,ns,672
d01p01,,,,,33585586.0,ns,693
d01p01,,,,,34367312.0,ns,714
d01p01,,,,,35331626.0,ns,735
d01p01,,,,,36504041.0,ns,756
d01p01,,,,,37630889.0,ns,777
d01p01,,,,,38514136.0,ns,798
d01p01,,,,,39308888.0,ns,819
d01p01,,,,,39756255.0,ns,840
d01p01,,,,,40318637.0,ns,861
d01p01,,,,,41667389.0,ns,882
d01p01,,,,,43091057.0,ns,903
d01p01,,,,,43355422.0,ns,924
d01p01,,,,,45425528.0,ns,945
d01p01,,,,,45748171.0,ns,966
d01p01,,,,,46491267.0,ns,987
d01p01,,,,,48048331.0,ns,1008
d01p01,,,,,49728351.0,ns,1029
d01p01,,,,,50162315.0,ns,1050
d01p01,,,,,53598800.0,ns,1071
d01p01,,,,,53813233.0,ns,1092
d01p01,,,,,54776986.0,ns,1113
d01p01,,,,,55450611.0,ns,1134
d01p01,,,,,56968010.0,ns,1155
d01p01,,,,,57769179.0,ns,1176
d01p01,,,,,59216639.0,ns,1197
d01p01,,,,,60293794.0,ns,1218
d01p01,,,,,60319253.0,ns,1239
d01p01,,,,,60221856.0,ns,1260
d01p01,,,,,61252775.0,ns,1281
d01p01,,,,,62464831.0,ns,1302
d01p01,,,,,63658457.0,ns,1323
d01p01,,,,,64381014.0,ns,1344
d01p01,,,,,65635653.0,ns,1365
d01p01,,,,,67416314.0,ns,1386
d01p01,,,,,69164425.0,ns,1407
d01p01,,,,,69869493.0,ns,1428
d01p01,,,,,71342456.0,ns,1449
d01p01,,,,,72442925.0,ns,1470
d01p01,,,,,72909589.0,ns,1491
d01p01,,,,,74580314.0,ns,1512
d01p01,,,,,75360432.0,ns,1533
d01p01,,,,,75279273.0,ns,1554
d01p01,,,,,75160564.0,ns,1575
d01p01,,,,,76087337.0,ns,1596
d01p01,,,,,77334918.0,ns,1617
d01p01,,,,,77313084.0,ns,1638
d01p01,,,,,80197220.0,ns,1659
d01p01,,,,,82493097.0,ns,1680
d01p01,,,,,83401193.0,ns,1701
d01p01,,,,,85026443.0,ns,1722
d01p01,,,,,85548124.0,ns,1743
d01p01,,,,,85818077.0,ns,1764
d01p01,,,,,86928786.0,ns,1785
d01p01,,,,,87039967.0,ns,1806
d01p01,,,,,87195202.0,ns,1827
d01p01,,,,,88691710.0,ns,1848
d01p01,,,,,93992046.0,ns,1869
d01p01,,,,,94349124.0,ns,1890
d01p01,,,,,95172479.0,ns,1911
d01p01,,,,,96314419.0,ns,1932
d01p01,,,,,95124904.0,ns,1953
d01p01,,,,,97235390.0,ns,1974
d01p01,,,,,98190296.0,ns,1995
d01p01,,,,,99546513.0,ns,2016
d01p01,,,,,97943849.0,ns,2037
d01p01,,,,,98775905.0,ns,2058
d01p01,,,,,100026692.0,ns,2079
d01p01,,,,,100299411.0,ns,2100
